Universidade,Mesorregião,Município,Curso,Categoria
Unesp,Bauru,Bauru,Pedagogia,Humanas
Unesp,Marília,Marília,Pedagogia,Humanas
Unesp,Presidente Prudente,Presidente Prudente,Pedagogia,Humanas
Unesp,Piracicaba,Rio Claro,Pedagogia,Humanas
Unesp,São José do Rio Preto,São José do Rio Preto,Pedagogia,Humanas
USP,Metropolitana de São Paulo,São Paulo,Pedagogia,Humanas
UFSCar,Araraquara,São Carlos,Pedagogia,Humanas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Pedagogia,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Pedagogia,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Pedagogia,Humanas
PUC-SP,Campinas,Campinas,Pedagogia,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Pedagogia,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Pedagogia,Humanas
Unicamp,Campinas,Campinas,Pedagogia,Humanas
Unicamp,Campinas,Campinas,Pedagogia,Humanas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Planejamento Territorial,Humanas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Políticas Públicas,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Processos Gerenciais,Humanas
USCS,Itapetininga,Itapetininga,Processos Gerenciais,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Produção Audiovisual,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Produção Audiovisual,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Produção cultural,Humanas
Unesp,Assis,Assis,Psicologia,Humanas
Unesp,Bauru,Bauru,Psicologia,Humanas
USP,Metropolitana de São Paulo,São Paulo,Psicologia,Humanas
UFSCar,Araraquara,São Carlos,Psicologia,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Psicologia,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Psicologia,Humanas
USCS,Metropolitana de São Paulo,São Paulo,Psicologia,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Psicologia,Humanas
PUC-SP,Campinas,Campinas,Psicologia,Humanas
Unifesp,Metropolitana de São Paulo,Santos,Psicologia,Humanas
USP,Metropolitana de São Paulo,São Paulo,Publicidade e Propaganda,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Publicidade e Propaganda,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Publicidade e Propaganda,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Publicidade e Propaganda,Humanas
PUC-SP,Campinas,Campinas,Publicidade e Propaganda,Humanas
USP,Metropolitana de São Paulo,São Paulo,Química,Exatas
USP,Araraquara,São Carlos,Química,Exatas
Unesp,Araraquara,Araraquara,Química,Exatas
USP,Metropolitana de São Paulo,São Paulo,Química,Exatas
Unesp,Araraquara,Araraquara,Química,Exatas
Unesp,Bauru,Bauru,Química,Exatas
Unesp,Presidente Prudente,Presidente Prudente,Química,Exatas
UFSCar,Piracicaba,Araras,Química,Exatas
UFSCar,Araraquara,São Carlos,Química,Exatas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Química,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Química,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Química,Exatas
PUC-SP,Campinas,Campinas,Química,Exatas
Unifesp,Metropolitana de São Paulo,Diadema,Química,Exatas
Unicamp,Campinas,Campinas,Química,Exatas
Unifesp,Metropolitana de São Paulo,Diadema,Química Industrial,Exatas
Unesp,Araraquara,Araraquara,Química Tecnológica,Exatas
Unicamp,Campinas,Campinas,Química Tecnológica,Exatas
Unesp,São José do Rio Preto,São José do Rio Preto,Química: Bacharelado em Química Ambiental,Exatas
Unesp,Ribeirão Preto ,Franca,Relações Internacionais,Humanas
Unesp,Marília,Marília,Relações Internacionais,Humanas
USP,Metropolitana de São Paulo,São Paulo,Relações Internacionais,Humanas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Relações Internacionais,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Relações Internacionais,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Relações Internacionais,Humanas
FGV,Metropolitana de São Paulo,São Paulo,Relações Internacionais,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Relações Internacionais,Humanas
PUC-SP,Campinas,Campinas,Relações Internacionais,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Relações Internacionais,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Relações Internacionais,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Relações Internacionais,Humanas
Unesp,Bauru,Bauru,Relações Públicas,Humanas
USP,Metropolitana de São Paulo,São Paulo,Relações Públicas,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Relações Públicas,Humanas
PUC-SP,Campinas,Campinas,Relações Públicas,Humanas
USP,Metropolitana de São Paulo,São Paulo,Saúde Pública,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Secretariado,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Segurança Pública,Humanas
Unesp,Ribeirão Preto ,Franca,Serviço Social,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Serviço Social,Humanas
PUC-SP,Campinas,Campinas,Serviço Social,Humanas
Unifesp,Metropolitana de São Paulo,Santos,Serviço Social,Humanas
Unifesp,Metropolitana de São Paulo,Santos,Serviço Social,Humanas
Unesp,Bauru,Bauru,Sistemas de Informação,Exatas
USP-Leste,Metropolitana de São Paulo,São Paulo,Sistemas de Informação,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Sistemas de Informação,Exatas
PUC-SP,Campinas,Campinas,Sistemas de Informação,Exatas
USP,Araraquara,São Carlos,Sistemas de Informação,Exatas
Unicamp,Piracicaba,Limeira,Sistemas de Informação,Exatas
PUC-SP,Campinas,Campinas,Tecnologia da Informação para Negócios Digitais – Bacharelado,Exatas
Unifesp,Metropolitana de São Paulo,São Paulo,Tecnologia Em Informática Em Saúde,Exatas
Unifesp,Metropolitana de São Paulo,São Paulo,Tecnologia Em Radiologia,Exatas
Unicamp,Piracicaba,Limeira,Tecnologia em Saneamento Ambiental,Exatas
Unifesp,Metropolitana de São Paulo,São Paulo,Tecnologia Oftálmica,Exatas
Unifesp,Metropolitana de São Paulo,São Paulo,Tecnologia Oftálmica,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Teologia,Humanas
PUC-SP,Campinas,Campinas,Teologia,Humanas
Unesp,Marília,Marília,Terapia Ocupacional,Saúde
USP,Metropolitana de São Paulo,São Paulo,Terapia Ocupacional,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Terapia Ocupacional,Saúde
UFSCar,Araraquara,São Carlos,Terapia Ocupacional,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Terapia Ocupacional,Saúde
PUC-SP,Campinas,Campinas,Terapia Ocupacional,Saúde
Unifesp,Metropolitana de São Paulo,Santos,Terapia Ocupacional,Saúde
USP-Leste,Metropolitana de São Paulo,São Paulo,Têxtil e Moda,Humanas
UFSCar,Araraquara,São Carlos,Tradução e Interpretação em Língua Brasileira de Sinais,Humanas
Unesp,Presidente Prudente ,Rosana,Turismo,Humanas
USP,Metropolitana de São Paulo,São Paulo,Turismo,Humanas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Turismo,Humanas
PUC-SP,Campinas,Campinas,Turismo,Humanas
Unesp,Bauru,Botucatu,Zootecnia,Biológicas
Unesp,Presidente Prudente ,Dracena,Zootecnia,Biológicas
Unesp,Araçatuba,Ilha Solteira,Zootecnia,Biológicas
Unesp,Ribeirão Preto ,Jaboticabal,Zootecnia,Biológicas
USP,Campinas,Pirassununga,Zootecnia,Biológicas
